,machineID,volt,rotate,pressure,vibration
179,4,157,442,98,45
180,5,190,445,97,33
181,6,182,378,115,35
182,7,186,445,106,41
183,8,169,428,110,42
184,1,181,495,93,52
185,2,167,445,81,36
186,3,159,499,108,41
187,4,207,393,115,46
188,5,194,493,94,32
189,6,188,507,103,43
190,7,155,507,121,32
191,8,158,438,91,45
192,1,197,446,114,29
193,2,170,493,93,31
194,3,138,476,86,39
195,4,180,311,92,40
196,5,142,493,91,39
197,6,180,447,99,44
198,7,169,436,131,38
199,8,183,482,96,43
200,1,171,384,103,35
201,2,167,464,105,40
202,3,169,481,94,38
203,4,162,456,116,43
204,5,178,472,113,43
205,6,174,439,94,37
206,7,199,513,95,39
207,8,186,405,102,45
208,1,160,486,86,42
209,2,150,518,103,39
210,3,153,404,92,35
211,4,165,462,103,36
212,5,173,405,84,53
213,6,166,461,100,37
214,7,199,414,107,35
215,8,170,423,92,34
216,1,147,420,110,34
217,2,168,327,105,31
218,3,179,484,91,36
219,4,142,545,94,42
220,5,201,443,118,42
221,6,165,427,95,43
222,7,154,433,126,40
223,8,176,419,100,45
224,1,160,412,90,36
225,2,181,393,84,39
226,3,177,460,94,44
227,4,166,464,104,40
228,5,144,472,94,39
229,6,153,458,97,38
230,7,181,500,114,37
231,8,160,541,99,41
232,1,173,439,97,37
233,2,175,370,99,46
234,3,164,446,94,35
235,4,173,460,94,46
236,5,166,456,100,38
237,6,160,434,96,36
238,7,216,461,86,43
239,8,168,474,92,43
240,1,185,445,105,47
241,2,173,411,103,49
242,3,157,452,100,43
243,4,151,530,83,43
244,5,174,430,118,35
245,6,194,430,101,37
246,7,193,459,98,47
247,8,156,432,110,39
248,1,173,385,99,42
249,2,159,456,118,36
250,3,176,490,109,43
251,4,168,492,96,41
252,5,171,528,100,38
253,6,185,433,94,38
254,7,167,424,102,36
255,8,177,404,108,35
256,1,152,497,101,30
257,2,199,505,103,30
258,3,181,497,101,39
259,4,162,511,102,42
260,5,174,411,116,44
261,6,177,422,101,39
262,7,161,462,113,40
263,8,184,446,105,37
264,1,180,486,93,43
265,2,153,427,94,42
266,3,149,501,116,42
267,4,181,463,78,36
268,5,150,449,99,34
269,6,185,471,115,40
270,7,142,420,106,42
271,8,163,452,94,38
272,1,145,495,111,37
273,2,174,416,103,47
274,3,169,449,102,38
275,4,153,455,97,42
276,5,167,492,83,46
277,6,185,423,96,39
278,7,180,476,118,35
279,8,173,506,118,39
280,1,164,424,102,42
281,2,162,523,87,44
282,3,171,550,111,34
283,4,177,409,117,32
284,5,152,477,104,50
285,6,148,452,110,30
286,7,143,385,111,41
287,8,148,440,100,36
288,1,165,493,127,45
289,2,184,511,76,44
290,3,157,506,105,38
291,4,186,498,99,35
292,5,145,391,103,44
293,6,192,495,111,39
294,7,155,443,96,35
295,8,164,491,95,36
296,1,140,432,99,31
297,2,175,483,105,36
298,3,176,529,114,35
299,4,181,354,95,39
300,5,160,486,96,45
301,6,171,495,101,41
302,7,153,455,90,41
303,8,170,448,103,47
304,1,183,414,86,37
305,2,172,438,90,33
306,3,154,522,108,41
307,4,191,437,93,40
308,5,180,497,89,39
309,6,178,488,105,35
310,7,149,473,77,46
311,8,168,471,82,41
312,1,160,446,115,35
313,2,175,519,93,44
314,3,168,497,100,35
315,4,152,534,108,46
316,5,154,477,105,42
317,6,171,396,115,43
318,7,166,477,89,37
319,8,144,461,80,42
320,1,164,418,80,42
321,2,168,437,93,40
322,3,149,421,108,33
323,4,185,451,110,41
324,5,146,486,92,42
325,6,156,567,95,40
326,7,199,380,98,41
327,8,171,341,105,51
328,1,190,437,85,40
329,2,154,475,97,38
330,3,140,441,113,44
331,4,160,439,87,49
332,5,194,480,103,43
333,6,147,409,86,43
334,7,151,497,88,43
335,8,186,438,81,46
336,1,179,502,109,41
337,2,157,590,97,31
338,3,167,561,95,40
339,4,171,422,88,40
340,5,145,431,87,41
341,6,159,487,98,42
342,7,155,427,101,31
343,8,185,403,103,39
344,1,168,489,114,36
345,2,160,448,92,42
346,3,178,454,95,36
347,4,192,452,97,38
348,5,167,442,88,35
349,6,170,420,87,36
350,7,161,381,102,44
351,8,177,434,106,34
352,1,177,521,101,35
353,2,174,472,104,37
354,3,173,400,125,47
355,4,149,452,103,38
356,5,158,468,83,38
357,6,143,461,101,43
358,7,175,447,103,40
359,8,164,454,95,47
360,1,175,510,92,36
361,2,155,380,93,47
362,3,160,395,104,33
363,4,169,431,87,39
364,5,165,516,103,41
365,6,164,415,86,50
366,7,164,370,122,36
367,8,207,459,98,31
368,1,194,418,95,47
369,2,169,481,84,35
370,3,165,419,106,40
371,4,186,448,96,41
372,5,163,328,98,40
373,6,157,405,89,35
374,7,132,470,92,46
375,8,157,422,103,38
376,1,174,489,91,32
377,2,181,411,103,41
378,3,191,466,108,38
379,4,170,444,88,35
380,5,164,501,98,35
381,6,178,468,115,39
382,7,167,402,89,38
383,8,158,482,92,40
384,1,177,459,96,52
385,2,184,456,99,42
386,3,211,473,107,41
387,4,190,433,99,40
388,5,181,394,84,38
389,6,161,536,95,41
390,7,184,446,77,33
391,8,158,436,86,40
392,1,175,486,104,47
393,2,159,505,102,35
394,3,190,388,92,38
395,4,177,435,113,34
396,5,151,488,101,39
397,6,160,468,96,40
398,7,175,461,109,39
399,8,157,450,103,42
400,1,164,568,94,49
401,2,200,398,122,42
402,3,153,437,87,37
403,4,178,512,96,34
404,5,175,501,104,45
405,6,185,382,118,30
406,7,176,486,113,37
407,8,146,490,100,43
408,1,171,454,85,47
409,2,187,446,106,40
410,3,183,428,88,37
411,4,174,484,112,37
412,5,155,461,103,41
413,6,166,432,99,39
414,7,168,471,83,43
415,8,167,484,95,41
416,1,194,448,98,50
417,2,182,434,109,43
418,3,168,468,106,36
419,4,161,448,102,44
420,5,158,477,118,41
421,6,170,358,87,43
422,7,147,480,110,45
423,8,130,340,94,44
424,1,156,405,98,54
425,2,185,438,98,37
426,3,166,323,106,34
427,4,182,543,106,40
428,5,170,438,81,46
429,6,169,461,98,50
430,7,179,482,86,44
431,8,175,441,116,43
432,1,171,439,87,55
433,2,182,481,112,41
434,3,166,446,93,46
435,4,166,475,108,41
436,5,177,407,96,37
437,6,179,394,93,41
438,7,171,497,107,36
439,8,155,435,111,35
440,1,190,427,116,55
441,2,189,448,105,40
442,3,159,456,94,43
443,4,160,427,104,51
444,5,168,364,97,34
445,6,162,442,99,35
446,7,191,485,94,43
447,8,161,459,85,37
448,1,166,487,90,66
449,2,186,405,103,41
450,3,155,531,115,36
451,4,168,434,119,41
452,5,185,484,97,37
453,6,160,404,92,45
454,7,173,446,99,38
455,8,149,475,91,40
456,1,154,469,85,47
457,2,169,449,95,45
458,3,178,428,106,39
459,4,162,431,93,48
460,5,175,451,108,32
461,6,146,422,105,51
462,7,159,474,118,37
463,8,189,387,85,38
464,1,156,462,106,48
465,2,162,440,91,40
466,3,179,410,95,44
467,4,146,525,98,39
468,5,166,387,100,43
469,6,181,388,99,40
470,7,173,489,105,38
471,8,197,445,117,45
472,1,164,429,104,43
473,2,155,471,97,34
474,3,208,450,94,44
475,4,138,453,112,38
476,5,193,394,95,42
477,6,174,403,100,37
478,7,192,458,99,40
479,8,162,462,102,42
480,1,157,416,93,48
481,2,184,502,100,38
482,3,195,482,109,32
483,4,166,516,84,40
484,5,157,493,103,41
485,6,195,476,98,31
486,7,174,404,88,38
487,8,169,424,103,43
488,1,166,425,87,57
489,2,170,473,118,28
490,3,155,397,97,40
491,4,185,513,105,42
492,5,183,531,105,52
493,6,175,575,109,44
494,7,150,362,89,44
495,8,187,500,102,37
496,1,163,520,97,56
497,2,177,508,92,36
498,3,165,457,109,50
499,4,176,466,110,39
500,5,152,439,91,32
501,6,135,462,86,48
502,7,158,415,99,38
503,8,196,364,103,35
504,1,167,382,104,39
505,2,170,389,103,43
506,3,182,470,101,34
507,4,164,435,101,36
508,5,167,440,107,45
509,6,172,419,96,44
510,7,168,521,106,30
511,8,168,436,100,37
512,1,176,428,107,52
513,2,188,438,99,50
514,3,147,457,96,43
515,4,152,431,105,45
516,5,165,469,110,36
517,6,178,371,90,41
518,7,176,414,102,39
519,8,183,502,94,36
520,1,179,374,87,49
521,2,194,415,93,39
522,3,160,423,90,36
523,4,205,504,90,43
524,5,188,400,103,37
525,6,144,436,78,45
526,7,179,445,115,38
527,8,179,461,96,35
528,1,195,436,103,49
529,2,166,539,111,43
530,3,183,479,84,44
531,4,152,392,96,36
532,5,180,436,92,39
533,6,167,390,103,32
534,7,153,432,102,37
535,8,187,411,107,39
536,1,168,467,117,58
537,2,182,463,102,41
538,3,190,505,100,42
539,4,158,490,95,44
540,5,177,446,85,30
541,6,132,391,104,40
542,7,175,478,107,34
543,8,202,419,100,37
544,1,165,475,114,57
545,2,199,433,104,42
546,3,169,386,116,34
547,4,156,342,104,42
548,5,157,487,106,34
549,6,185,426,115,38
550,7,165,309,89,46
551,8,195,501,98,42
552,1,192,506,113,57
553,2,179,431,85,37
554,3,176,520,90,42
555,4,176,339,89,37
556,5,169,429,103,39
557,6,192,419,88,37
558,7,157,417,106,35
559,8,176,537,104,45
560,1,195,384,106,49
561,2,175,406,103,33
562,3,170,440,98,46
563,4,172,417,87,41
564,5,132,433,105,40
565,6,180,475,97,29
566,7,159,356,105,32
567,8,165,514,95,29
568,1,170,464,103,58
569,2,157,495,102,43
570,3,156,466,97,43
571,4,162,449,89,36
572,5,155,441,95,30
573,6,174,393,115,34
574,7,169,499,96,50
575,8,172,431,99,37
576,1,165,448,97,48
577,2,170,485,100,41
578,3,152,362,93,42
579,4,158,386,81,36
580,5,164,506,107,38
581,6,183,384,102,31
582,7,165,534,100,41
583,8,175,401,95,43
584,1,142,433,118,54
585,2,168,380,124,40
586,3,184,476,78,37
587,4,174,374,106,41
588,5,198,406,109,36
589,6,165,411,112,36
590,7,172,523,109,45
591,8,185,473,100,40
592,1,191,479,101,52
593,2,148,472,119,38
594,3,174,440,104,38
595,4,167,517,93,41
596,5,148,485,100,36
597,6,161,373,102,41
598,7,179,469,89,45
599,8,156,338,81,42
600,1,157,438,113,53
601,2,160,480,94,34
602,3,170,305,94,40
603,4,182,448,93,41
604,5,159,454,100,43
605,6,158,444,114,40
606,7,142,427,103,43
607,8,158,470,85,31
608,1,153,440,94,57
609,2,161,445,119,54
610,3,179,515,100,41
611,4,145,418,91,45
612,5,172,452,107,42
613,6,164,371,99,38
614,7,145,407,105,42
615,8,191,439,103,46
616,1,215,458,95,51
617,2,171,442,91,44
618,3,183,493,101,40
619,4,163,499,105,39
620,5,183,470,96,40
621,6,180,428,102,39
622,7,161,393,78,32
623,8,166,475,97,36
624,1,173,421,100,50
625,2,177,440,101,41
626,3,210,434,114,40
627,4,148,431,100,44
628,5,180,444,85,29
629,6,172,438,108,36
630,7,196,410,107,33
631,8,162,436,111,48
632,1,169,454,91,45
633,2,158,464,108,43
634,3,186,558,105,36
635,4,173,455,97,38
636,5,161,400,82,40
637,6,132,485,98,31
638,7,173,422,106,48
639,8,182,448,89,47
640,1,129,479,111,49
641,2,187,448,85,47
642,3,153,376,95,34
643,4,162,425,118,31
644,5,170,450,93,44
645,6,171,423,91,43
646,7,169,369,80,41
647,8,182,432,120,46
648,1,168,455,83,43
649,2,165,387,99,35
650,3,152,501,89,40
651,4,179,465,97,42
652,5,158,513,117,37
653,6,161,408,89,44
654,7,152,403,81,35
655,8,167,485,115,31
656,1,184,365,87,52
657,2,179,496,104,37
658,3,145,450,95,34
659,4,176,430,96,40
660,5,157,492,83,46
661,6,174,484,105,45
662,7,149,532,108,42
663,8,169,519,96,52
664,1,176,517,82,46
665,2,184,551,95,43
666,3,162,435,95,43
667,4,173,539,96,30
668,5,178,464,97,46
669,6,177,438,96,38
670,7,165,432,111,43
671,8,169,390,115,44
672,1,183,414,111,56
673,2,181,473,109,36
674,3,177,490,100,31
675,4,159,358,93,42
676,5,159,407,81,44
677,6,191,413,100,36
678,7,176,460,87,41
679,8,179,481,92,36
680,1,199,425,107,41
681,2,150,427,89,44
682,3,156,460,86,36
683,4,189,437,105,35
684,5,150,410,114,37
685,6,149,447,98,50
686,7,153,432,101,32
687,8,155,525,99,29
688,1,187,427,103,50
689,2,171,466,94,34
690,3,163,555,105,43
691,4,170,480,97,41
692,5,175,449,98,42
693,6,162,450,101,43
694,7,149,487,114,40
695,8,189,478,97,45
696,1,162,458,95,50
697,2,172,423,89,41
698,3,178,534,90,42
699,4,158,499,111,39
700,5,184,420,105,34
701,6,165,398,98,45
702,7,175,379,105,39
703,8,145,596,96,40
704,1,180,447,89,51
705,2,193,423,97,33
706,3,139,461,104,49
707,4,176,439,114,33
708,5,137,430,94,37
709,6,175,416,97,39
710,7,169,498,104,37
711,8,186,444,93,41
712,1,167,471,89,62
713,2,173,349,100,35
714,3,179,384,104,39
715,4,195,506,87,35
716,5,183,479,76,32
717,6,176,535,102,41
718,7,177,467,104,41
719,8,172,454,84,27
720,1,161,376,89,58
721,2,171,486,108,40
722,3,173,493,103,47
723,4,165,368,94,37
724,5,178,467,89,41
725,6,175,394,103,35
726,7,184,503,98,40
727,8,166,487,124,39
728,1,127,430,95,46
729,2,157,509,99,50
730,3,166,363,89,39
731,4,188,410,100,44
732,5,175,435,90,36
733,6,135,507,96,38
734,7,177,490,104,39
735,8,165,442,104,41
736,1,158,429,94,58
737,2,197,389,79,36
738,3,178,438,121,42
739,4,158,499,106,36
740,5,151,374,102,40
741,6,155,487,102,46
742,7,182,482,90,41
743,8,153,399,94,46
744,1,177,461,103,49
745,2,155,417,110,48
746,3,151,406,81,32
747,4,167,386,79,46
748,5,179,385,116,35
749,6,186,529,100,34
750,7,155,465,80,42
751,8,183,512,102,38
752,1,202,387,94,45
753,2,187,408,96,41
754,3,156,471,95,40
755,4,163,530,95,40
756,5,153,389,117,37
757,6,183,475,104,45
758,7,167,487,106,30
759,8,176,491,94,36
760,1,177,469,100,59
761,2,162,459,99,42
762,3,168,497,110,36
763,4,174,448,100,42
764,5,173,497,104,42
765,6,155,489,98,35
766,7,160,478,116,46
767,8,168,433,107,50
768,1,179,499,111,52
769,2,165,538,112,44
770,3,151,378,97,47
771,4,150,461,103,45
772,5,161,398,109,45
773,6,182,439,88,45
774,7,193,384,93,36
775,8,164,458,97,41
776,1,155,498,103,33
777,2,193,527,91,45
778,3,152,393,103,41
779,4,189,430,108,39
780,5,176,369,112,40
781,6,201,496,105,38
782,7,152,327,100,42
783,8,129,475,117,38
784,1,172,392,108,39
785,2,191,469,107,46
786,3,199,347,109,37
787,4,168,424,95,42
788,5,162,399,99,40
789,6,172,406,105,31
790,7,142,474,97,39
791,8,183,495,89,50
792,1,138,451,126,38
793,2,160,471,94,38
794,3,170,358,95,43
795,4,168,435,96,37
796,5,166,586,95,43
797,6,135,474,83,48
798,7,172,382,104,38
799,8,146,426,108,36
800,1,177,403,100,38
801,2,153,409,112,39
802,3,188,399,115,39
803,4,172,485,94,42
804,5,192,490,109,40
805,6,161,385,88,42
806,7,176,521,115,38
807,8,176,508,106,33
808,1,180,494,103,39
809,2,157,460,96,45
810,3,180,297,105,43
811,4,195,428,104,50
812,5,166,490,119,37
813,6,181,483,104,41
814,7,155,411,106,34
815,8,175,369,95,35
816,1,172,433,118,52
817,2,196,357,114,37
818,3,168,361,73,43
819,4,174,439,83,37
820,5,138,462,92,40
821,6,169,496,105,35
822,7,172,449,107,42
823,8,172,515,112,30
824,1,180,429,107,39
825,2,161,557,97,40
826,3,177,464,104,36
827,4,139,463,109,37
828,5,169,471,104,35
829,6,172,446,98,34
830,7,184,428,88,46
831,8,164,328,94,39
832,1,174,396,111,33
833,2,168,475,116,36
834,3,163,282,110,38
835,4,184,410,95,44
836,5,192,503,98,44
837,6,165,506,95,46
838,7,173,402,95,41
839,8,176,447,100,39
840,1,181,575,102,38
841,2,176,466,103,40
842,3,177,393,102,37
843,4,156,409,89,46
844,5,170,493,107,47
845,6,173,476,113,37
846,7,173,453,88,46
847,8,139,466,89,47
848,1,197,448,78,34
849,2,177,386,108,43
850,3,185,463,102,34
851,4,172,538,102,38
852,5,148,403,102,46
853,6,192,437,78,36
854,7,156,356,96,36
855,8,179,380,103,41
856,1,186,438,86,37
857,2,183,418,115,41
858,3,154,461,103,39
859,4,151,520,98,42
860,5,163,472,81,42
861,6,177,451,110,40
862,7,149,516,97,48
863,8,158,557,97,36
864,1,170,469,90,42
865,2,149,472,91,37
866,3,160,421,100,41
867,4,145,493,85,39
868,5,182,322,100,41
869,6,182,397,96,41
870,7,169,471,106,48
871,8,164,396,94,36
872,1,153,510,112,40
873,2,196,452,116,36
874,3,169,348,103,44
875,4,180,406,94,47
876,5,175,466,112,41
877,6,139,504,101,33
878,7,151,468,98,46
879,8,158,447,96,41
880,1,176,465,109,33
881,2,174,461,108,43
882,3,173,292,87,37
883,4,154,403,86,41
884,5,207,407,87,45
885,6,161,475,105,37
886,7,178,434,110,47
887,8,178,529,102,45
888,1,163,517,109,41
889,2,161,456,104,41
890,3,166,382,76,37
891,4,186,444,93,50
892,5,172,472,96,42
893,6,178,462,97,40
894,7,182,553,87,46
895,8,160,376,92,35
896,1,192,492,95,40
897,2,145,468,90,40
898,3,166,317,87,38
899,4,175,511,106,36
900,5,136,368,103,39
901,6,167,425,113,43
902,7,165,377,94,53
903,8,174,460,102,47
904,1,145,444,101,47
905,2,158,475,89,40
906,3,184,393,90,41
907,4,158,534,110,46
908,5,193,374,99,46
909,6,190,401,109,38
910,7,137,389,94,63
911,8,163,398,101,44
912,1,163,471,115,45
913,2,186,415,109,42
914,3,171,381,89,37
915,4,171,470,98,35
916,5,180,358,118,41
917,6,160,452,75,34
918,7,177,458,95,58
919,8,150,461,91,41
920,1,176,503,113,42
921,2,165,443,98,37
922,3,161,294,95,40
923,4,183,424,91,44
924,5,171,394,98,43
925,6,151,477,127,43
926,7,179,423,80,48
927,8,168,406,96,42
928,1,167,471,106,32
929,2,189,457,106,40
930,3,165,345,119,43
931,4,170,438,95,35
932,5,182,428,97,40
933,6,161,427,106,38
934,7,195,418,92,43
935,8,188,473,102,40
936,1,160,508,90,33
937,2,156,417,113,41
938,3,177,323,97,36
939,4,172,498,99,37
940,5,157,462,109,47
941,6,146,341,82,41
942,7,158,426,95,51
943,8,146,387,123,44
944,1,165,466,94,41
945,2,136,472,88,33
946,3,175,400,90,44
947,4,178,456,105,35
948,5,170,473,116,43
949,6,207,449,98,40
950,7,167,397,109,56
951,8,153,446,93,47
952,1,179,459,108,42
953,2,203,475,112,50
954,3,156,382,105,39
955,4,163,347,108,34
956,5,173,462,96,35
957,6,151,395,122,37
958,7,167,488,108,52
959,8,154,421,110,41
960,1,183,437,94,37
961,2,188,462,81,43
962,3,168,401,95,38
963,4,182,402,91,37
964,5,157,416,96,44
965,6,145,458,101,46
966,7,172,452,100,45
967,8,167,432,103,46
968,1,179,461,93,42
969,2,164,405,102,38
970,3,179,452,85,46
971,4,165,334,89,41
972,5,179,468,115,43
973,6,156,437,101,27
974,7,178,409,102,44
975,8,193,511,107,39
976,1,204,441,106,38
977,2,162,447,75,35
978,3,162,451,101,38
979,4,167,518,97,41
980,5,150,439,84,36
981,6,169,512,124,37
982,7,190,505,100,43
983,8,178,527,82,43
984,1,187,474,92,46
985,2,161,296,86,39
986,3,169,445,87,42
987,4,151,393,113,43
988,5,203,458,83,45
989,6,165,485,115,37
990,7,150,545,92,58
991,8,181,449,90,42
992,1,174,360,97,39
993,2,177,507,121,31
994,3,169,405,117,33
995,4,176,396,91,30
996,5,180,450,95,35
997,6,175,445,101,42
998,7,177,378,84,52
999,8,139,458,101,38
1000,1,160,443,100,45
1001,2,155,511,97,33
1002,3,170,325,83,37
1003,4,150,469,110,38
1004,5,152,432,105,42
1005,6,152,462,109,38
1006,7,170,456,107,54
1007,8,163,450,117,31
1008,1,213,498,87,47
1009,2,177,543,103,41
1010,3,186,429,110,36
1011,4,182,451,102,45
1012,5,172,436,109,40
1013,6,174,386,105,43
1014,7,163,474,93,45
1015,8,156,373,95,42
1016,1,180,461,96,37
1017,2,156,455,111,37
1018,3,169,406,111,33
1019,4,182,414,88,46
1020,5,179,426,96,37
1021,6,151,439,85,41
1022,7,131,381,99,43
1023,8,138,509,94,44
1024,1,159,459,107,45
1025,2,178,484,72,49
1026,3,184,433,106,33
1027,4,166,483,101,40
1028,5,172,515,96,46
1029,6,169,467,85,48
1030,7,157,441,97,51
1031,8,166,456,95,31
1032,1,172,345,95,44
1033,2,185,502,118,41
1034,3,159,421,97,40
1035,4,180,463,99,31
1036,5,174,453,91,40
1037,6,150,479,98,41
1038,7,179,487,102,49
1039,8,154,396,107,34
1040,1,165,507,104,36
1041,2,156,451,101,53
1042,3,187,425,101,36
1043,4,164,469,98,40
1044,5,127,506,92,46
1045,6,171,507,93,48
1046,7,170,543,100,50
1047,8,151,471,101,35
1048,1,165,474,106,36
1049,2,165,363,100,45
1050,3,190,339,115,40
1051,4,149,314,93,40
1052,5,148,406,106,48
1053,6,162,441,99,33
1054,7,154,354,117,59
1055,8,171,431,110,41
1056,1,155,395,111,42
1057,2,162,419,104,49
1058,3,151,406,96,52
1059,4,167,492,91,42
1060,5,187,466,105,32
1061,6,153,428,100,41
1062,7,188,406,85,47
1063,8,164,404,95,39
1064,1,171,392,110,40
1065,2,185,444,99,45
1066,3,159,370,94,42
1067,4,158,508,86,41
1068,5,175,481,108,40
1069,6,147,523,117,44
1070,7,174,411,103,46
1071,8,176,504,85,42
1072,1,174,466,119,39
1073,2,169,503,101,46
1074,3,182,429,85,40
1075,4,173,408,108,38
1076,5,200,460,98,43
1077,6,176,482,103,33
1078,7,172,321,98,51
1079,8,164,505,108,43
1080,1,153,495,102,45
1081,2,190,460,107,41
1082,3,162,409,102,41
1083,4,204,376,81,39
1084,5,157,442,92,42
1085,6,177,434,101,38
1086,7,155,444,117,62
1087,8,156,388,95,51
1088,1,121,428,103,45
1089,2,148,363,90,39
1090,3,165,338,113,41
1091,4,172,464,121,46
1092,5,156,484,97,41
1093,6,161,409,107,44
1094,7,154,496,90,50
1095,8,147,479,104,36
1096,1,166,486,98,45
1097,2,174,458,96,39
1098,3,150,357,120,35
1099,4,174,432,103,42
1100,5,171,408,101,44
1101,6,132,395,98,45
1102,7,184,441,104,50
1103,8,166,478,108,42
1104,1,170,458,105,46
1105,2,166,454,96,42
1106,3,192,395,97,35
1107,4,126,489,89,41
1108,5,143,401,91,42
1109,6,195,436,102,38
1110,7,188,416,110,52
1111,8,168,427,97,34
1112,1,178,475,80,42
1113,2,174,428,77,34
1114,3,147,384,104,33
1115,4,177,450,90,33
1116,5,165,500,97,41
1117,6,153,499,106,42
1118,7,185,468,102,44
1119,8,176,435,116,43
1120,1,170,450,97,37
1121,2,170,545,94,42
1122,3,180,444,91,34
1123,4,158,457,89,38
1124,5,157,520,110,41
1125,6,168,485,72,40
1126,7,167,522,90,46
1127,8,172,446,96,36
1128,1,176,427,92,44
1129,2,164,378,89,33
1130,3,156,372,100,40
1131,4,173,451,95,36
1132,5,167,443,99,35
1133,6,166,440,84,38
1134,7,176,371,104,54
1135,8,160,571,113,30
1136,1,153,396,120,33
1137,2,153,440,94,51
1138,3,154,330,109,40
1139,4,180,427,99,32
1140,5,158,456,93,41
1141,6,178,567,93,36
1142,7,160,557,90,51
1143,8,177,418,105,41
1144,1,180,379,110,41
1145,2,170,399,81,39
1146,3,156,353,92,47
1147,4,169,470,95,45
1148,5,163,386,103,42
1149,6,165,525,118,36
