datetime,machineID,volt,rotate,pressure,vibration
2015-01-01 23:00:00,6,182,427,112,44
2015-01-01 23:00:00,7,155,458,105,41
2015-01-01 23:00:00,8,166,460,107,33
2015-01-02 00:00:00,1,180,486,96,38
2015-01-02 00:00:00,2,173,469,93,48
2015-01-02 00:00:00,3,204,500,106,48
2015-01-02 00:00:00,4,165,419,103,40
2015-01-02 00:00:00,5,200,440,103,34
2015-01-02 00:00:00,6,172,441,91,36
2015-01-02 00:00:00,7,163,412,106,37
2015-01-02 00:00:00,8,166,426,96,33
2015-01-02 01:00:00,1,169,519,78,40
2015-01-02 01:00:00,2,176,447,86,43
2015-01-02 01:00:00,3,163,536,100,46
2015-01-02 01:00:00,4,171,468,93,48
2015-01-02 01:00:00,5,172,501,102,41
2015-01-02 01:00:00,6,160,490,90,42
2015-01-02 01:00:00,7,166,402,100,37
2015-01-02 01:00:00,8,198,571,94,40
2015-01-02 02:00:00,1,167,427,91,44
2015-01-02 02:00:00,2,168,480,84,47
2015-01-02 02:00:00,3,171,395,103,44
2015-01-02 02:00:00,4,158,413,87,38
2015-01-02 02:00:00,5,164,557,94,34
2015-01-02 02:00:00,6,177,384,114,35
2015-01-02 02:00:00,7,147,478,106,46
2015-01-02 02:00:00,8,158,341,103,49
2015-01-02 03:00:00,1,158,422,92,39
2015-01-02 03:00:00,2,163,388,83,41
2015-01-02 03:00:00,3,172,441,85,43
2015-01-02 03:00:00,4,188,370,96,43
2015-01-02 03:00:00,5,177,513,102,43
2015-01-02 03:00:00,6,157,518,92,38
2015-01-02 03:00:00,7,163,376,99,40
2015-01-02 03:00:00,8,177,408,104,50
2015-01-02 04:00:00,1,200,403,96,32
2015-01-02 04:00:00,2,154,381,94,44
2015-01-02 04:00:00,3,169,514,122,34
2015-01-02 04:00:00,4,157,442,98,45
2015-01-02 04:00:00,5,190,445,97,33
2015-01-02 04:00:00,6,182,378,115,35
2015-01-02 04:00:00,7,186,445,106,41
2015-01-02 04:00:00,8,169,428,110,42
2015-01-02 05:00:00,1,181,495,93,52
2015-01-02 05:00:00,2,167,445,81,36
2015-01-02 05:00:00,3,159,499,108,41
2015-01-02 05:00:00,4,207,393,115,46
2015-01-02 05:00:00,5,194,493,94,32
2015-01-02 05:00:00,6,188,507,103,43
2015-01-02 05:00:00,7,155,507,121,32
2015-01-02 05:00:00,8,158,438,91,45
2015-01-02 06:00:00,1,197,446,114,29
2015-01-02 06:00:00,2,170,493,93,31
2015-01-02 06:00:00,3,138,476,86,39
2015-01-02 06:00:00,4,180,311,92,40
2015-01-02 06:00:00,5,142,493,91,39
2015-01-02 06:00:00,6,180,447,99,44
2015-01-02 06:00:00,7,169,436,131,38
2015-01-02 06:00:00,8,183,482,96,43
2015-01-02 07:00:00,1,171,384,103,35
2015-01-02 07:00:00,2,167,464,105,40
2015-01-02 07:00:00,3,169,481,94,38
2015-01-02 07:00:00,4,162,456,116,43
2015-01-02 07:00:00,5,178,472,113,43
2015-01-02 07:00:00,6,174,439,94,37
2015-01-02 07:00:00,7,199,513,95,39
2015-01-02 07:00:00,8,186,405,102,45
2015-01-02 08:00:00,1,160,486,86,42
2015-01-02 08:00:00,2,150,518,103,39
2015-01-02 08:00:00,3,153,404,92,35
2015-01-02 08:00:00,4,165,462,103,36
2015-01-02 08:00:00,5,173,405,84,53
2015-01-02 08:00:00,6,166,461,100,37
2015-01-02 08:00:00,7,199,414,107,35
2015-01-02 08:00:00,8,170,423,92,34
2015-01-02 09:00:00,1,147,420,110,34
2015-01-02 09:00:00,2,168,327,105,31
2015-01-02 09:00:00,3,179,484,91,36
2015-01-02 09:00:00,4,142,545,94,42
2015-01-02 09:00:00,5,201,443,118,42
2015-01-02 09:00:00,6,165,427,95,43
2015-01-02 09:00:00,7,154,433,126,40
2015-01-02 09:00:00,8,176,419,100,45
2015-01-02 10:00:00,1,160,412,90,36
2015-01-02 10:00:00,2,181,393,84,39
2015-01-02 10:00:00,3,177,460,94,44
2015-01-02 10:00:00,4,166,464,104,40
2015-01-02 10:00:00,5,144,472,94,39
2015-01-02 10:00:00,6,153,458,97,38
2015-01-02 10:00:00,7,181,500,114,37
2015-01-02 10:00:00,8,160,541,99,41
2015-01-02 11:00:00,1,173,439,97,37
2015-01-02 11:00:00,2,175,370,99,46
2015-01-02 11:00:00,3,164,446,94,35
2015-01-02 11:00:00,4,173,460,94,46
2015-01-02 11:00:00,5,166,456,100,38
2015-01-02 11:00:00,6,160,434,96,36
2015-01-02 11:00:00,7,216,461,86,43
2015-01-02 11:00:00,8,168,474,92,43
2015-01-02 12:00:00,1,185,445,105,47
2015-01-02 12:00:00,2,173,411,103,49
2015-01-02 12:00:00,3,157,452,100,43
2015-01-02 12:00:00,4,151,530,83,43
2015-01-02 12:00:00,5,174,430,118,35
2015-01-02 12:00:00,6,194,430,101,37
2015-01-02 12:00:00,7,193,459,98,47
2015-01-02 12:00:00,8,156,432,110,39
2015-01-02 13:00:00,1,173,385,99,42
2015-01-02 13:00:00,2,159,456,118,36
2015-01-02 13:00:00,3,176,490,109,43
2015-01-02 13:00:00,4,168,492,96,41
2015-01-02 13:00:00,5,171,528,100,38
2015-01-02 13:00:00,6,185,433,94,38
2015-01-02 13:00:00,7,167,424,102,36
2015-01-02 13:00:00,8,177,404,108,35
2015-01-02 14:00:00,1,152,497,101,30
2015-01-02 14:00:00,2,199,505,103,30
2015-01-02 14:00:00,3,181,497,101,39
2015-01-02 14:00:00,4,162,511,102,42
2015-01-02 14:00:00,5,174,411,116,44
2015-01-02 14:00:00,6,177,422,101,39
2015-01-02 14:00:00,7,161,462,113,40
2015-01-02 14:00:00,8,184,446,105,37
2015-01-02 15:00:00,1,180,486,93,43
2015-01-02 15:00:00,2,153,427,94,42
2015-01-02 15:00:00,3,149,501,116,42
2015-01-02 15:00:00,4,181,463,78,36
2015-01-02 15:00:00,5,150,449,99,34
2015-01-02 15:00:00,6,185,471,115,40
2015-01-02 15:00:00,7,142,420,106,42
2015-01-02 15:00:00,8,163,452,94,38
2015-01-02 16:00:00,1,145,495,111,37
2015-01-02 16:00:00,2,174,416,103,47
2015-01-02 16:00:00,3,169,449,102,38
2015-01-02 16:00:00,4,153,455,97,42
2015-01-02 16:00:00,5,167,492,83,46
2015-01-02 16:00:00,6,185,423,96,39
2015-01-02 16:00:00,7,180,476,118,35
2015-01-02 16:00:00,8,173,506,118,39
2015-01-02 17:00:00,1,164,424,102,42
2015-01-02 17:00:00,2,162,523,87,44
2015-01-02 17:00:00,3,171,550,111,34
2015-01-02 17:00:00,4,177,409,117,32
2015-01-02 17:00:00,5,152,477,104,50
2015-01-02 17:00:00,6,148,452,110,30
2015-01-02 17:00:00,7,143,385,111,41
2015-01-02 17:00:00,8,148,440,100,36
2015-01-02 18:00:00,1,165,493,127,45
2015-01-02 18:00:00,2,184,511,76,44
2015-01-02 18:00:00,3,157,506,105,38
2015-01-02 18:00:00,4,186,498,99,35
2015-01-02 18:00:00,5,145,391,103,44
2015-01-02 18:00:00,6,192,495,111,39
2015-01-02 18:00:00,7,155,443,96,35
2015-01-02 18:00:00,8,164,491,95,36
2015-01-02 19:00:00,1,140,432,99,31
2015-01-02 19:00:00,2,175,483,105,36
2015-01-02 19:00:00,3,176,529,114,35
2015-01-02 19:00:00,4,181,354,95,39
2015-01-02 19:00:00,5,160,486,96,45
2015-01-02 19:00:00,6,171,495,101,41
2015-01-02 19:00:00,7,153,455,90,41
2015-01-02 19:00:00,8,170,448,103,47
2015-01-02 20:00:00,1,183,414,86,37
2015-01-02 20:00:00,2,172,438,90,33
2015-01-02 20:00:00,3,154,522,108,41
2015-01-02 20:00:00,4,191,437,93,40
2015-01-02 20:00:00,5,180,497,89,39
2015-01-02 20:00:00,6,178,488,105,35
2015-01-02 20:00:00,7,149,473,77,46
2015-01-02 20:00:00,8,168,471,82,41
2015-01-02 21:00:00,1,160,446,115,35
2015-01-02 21:00:00,2,175,519,93,44
2015-01-02 21:00:00,3,168,497,100,35
2015-01-02 21:00:00,4,152,534,108,46
2015-01-02 21:00:00,5,154,477,105,42
2015-01-02 21:00:00,6,171,396,115,43
2015-01-02 21:00:00,7,166,477,89,37
2015-01-02 21:00:00,8,144,461,80,42
2015-01-02 22:00:00,1,164,418,80,42
2015-01-02 22:00:00,2,168,437,93,40
2015-01-02 22:00:00,3,149,421,108,33
2015-01-02 22:00:00,4,185,451,110,41
2015-01-02 22:00:00,5,146,486,92,42
2015-01-02 22:00:00,6,156,567,95,40
2015-01-02 22:00:00,7,199,380,98,41
2015-01-02 22:00:00,8,171,341,105,51
2015-01-02 23:00:00,1,190,437,85,40
2015-01-02 23:00:00,2,154,475,97,38
2015-01-02 23:00:00,3,140,441,113,44
2015-01-02 23:00:00,4,160,439,87,49
2015-01-02 23:00:00,5,194,480,103,43
2015-01-02 23:00:00,6,147,409,86,43
2015-01-02 23:00:00,7,151,497,88,43
2015-01-02 23:00:00,8,186,438,81,46
2015-01-03 00:00:00,1,179,502,109,41
2015-01-03 00:00:00,2,157,590,97,31
2015-01-03 00:00:00,3,167,561,95,40
2015-01-03 00:00:00,4,171,422,88,40
2015-01-03 00:00:00,5,145,431,87,41
2015-01-03 00:00:00,6,159,487,98,42
2015-01-03 00:00:00,7,155,427,101,31
2015-01-03 00:00:00,8,185,403,103,39
2015-01-03 01:00:00,1,168,489,114,36
2015-01-03 01:00:00,2,160,448,92,42
2015-01-03 01:00:00,3,178,454,95,36
2015-01-03 01:00:00,4,192,452,97,38
2015-01-03 01:00:00,5,167,442,88,35
2015-01-03 01:00:00,6,170,420,87,36
2015-01-03 01:00:00,7,161,381,102,44
2015-01-03 01:00:00,8,177,434,106,34
2015-01-03 02:00:00,1,177,521,101,35
2015-01-03 02:00:00,2,174,472,104,37
2015-01-03 02:00:00,3,173,400,125,47
2015-01-03 02:00:00,4,149,452,103,38
2015-01-03 02:00:00,5,158,468,83,38
2015-01-03 02:00:00,6,143,461,101,43
2015-01-03 02:00:00,7,175,447,103,40
2015-01-03 02:00:00,8,164,454,95,47
2015-01-03 03:00:00,1,175,510,92,36
2015-01-03 03:00:00,2,155,380,93,47
2015-01-03 03:00:00,3,160,395,104,33
2015-01-03 03:00:00,4,169,431,87,39
2015-01-03 03:00:00,5,165,516,103,41
2015-01-03 03:00:00,6,164,415,86,50
2015-01-03 03:00:00,7,164,370,122,36
2015-01-03 03:00:00,8,207,459,98,31
2015-01-03 04:00:00,1,194,418,95,47
2015-01-03 04:00:00,2,169,481,84,35
2015-01-03 04:00:00,3,165,419,106,40
2015-01-03 04:00:00,4,186,448,96,41
2015-01-03 04:00:00,5,163,328,98,40
2015-01-03 04:00:00,6,157,405,89,35
2015-01-03 04:00:00,7,132,470,92,46
2015-01-03 04:00:00,8,157,422,103,38
2015-01-03 05:00:00,1,174,489,91,32
2015-01-03 05:00:00,2,181,411,103,41
2015-01-03 05:00:00,3,191,466,108,38
2015-01-03 05:00:00,4,170,444,88,35
2015-01-03 05:00:00,5,164,501,98,35
2015-01-03 05:00:00,6,178,468,115,39
2015-01-03 05:00:00,7,167,402,89,38
2015-01-03 05:00:00,8,158,482,92,40
2015-01-03 06:00:00,1,177,459,96,52
2015-01-03 06:00:00,2,184,456,99,42
2015-01-03 06:00:00,3,211,473,107,41
2015-01-03 06:00:00,4,190,433,99,40
2015-01-03 06:00:00,5,181,394,84,38
2015-01-03 06:00:00,6,161,536,95,41
2015-01-03 06:00:00,7,184,446,77,33
2015-01-03 06:00:00,8,158,436,86,40
2015-01-03 07:00:00,1,175,486,104,47
2015-01-03 07:00:00,2,159,505,102,35
2015-01-03 07:00:00,3,190,388,92,38
2015-01-03 07:00:00,4,177,435,113,34
2015-01-03 07:00:00,5,151,488,101,39
2015-01-03 07:00:00,6,160,468,96,40
2015-01-03 07:00:00,7,175,461,109,39
2015-01-03 07:00:00,8,157,450,103,42
2015-01-03 08:00:00,1,164,568,94,49
2015-01-03 08:00:00,2,200,398,122,42
2015-01-03 08:00:00,3,153,437,87,37
2015-01-03 08:00:00,4,178,512,96,34
2015-01-03 08:00:00,5,175,501,104,45
2015-01-03 08:00:00,6,185,382,118,30
2015-01-03 08:00:00,7,176,486,113,37
2015-01-03 08:00:00,8,146,490,100,43
2015-01-03 09:00:00,1,171,454,85,47
2015-01-03 09:00:00,2,187,446,106,40
2015-01-03 09:00:00,3,183,428,88,37
2015-01-03 09:00:00,4,174,484,112,37
2015-01-03 09:00:00,5,155,461,103,41
2015-01-03 09:00:00,6,166,432,99,39
2015-01-03 09:00:00,7,168,471,83,43
2015-01-03 09:00:00,8,167,484,95,41
2015-01-03 10:00:00,1,194,448,98,50
2015-01-03 10:00:00,2,182,434,109,43
2015-01-03 10:00:00,3,168,468,106,36
2015-01-03 10:00:00,4,161,448,102,44
2015-01-03 10:00:00,5,158,477,118,41
2015-01-03 10:00:00,6,170,358,87,43
2015-01-03 10:00:00,7,147,480,110,45
2015-01-03 10:00:00,8,130,340,94,44
2015-01-03 11:00:00,1,156,405,98,54
2015-01-03 11:00:00,2,185,438,98,37
2015-01-03 11:00:00,3,166,323,106,34
2015-01-03 11:00:00,4,182,543,106,40
2015-01-03 11:00:00,5,170,438,81,46
2015-01-03 11:00:00,6,169,461,98,50
2015-01-03 11:00:00,7,179,482,86,44
2015-01-03 11:00:00,8,175,441,116,43
2015-01-03 12:00:00,1,171,439,87,55
2015-01-03 12:00:00,2,182,481,112,41
2015-01-03 12:00:00,3,166,446,93,46
2015-01-03 12:00:00,4,166,475,108,41
2015-01-03 12:00:00,5,177,407,96,37
2015-01-03 12:00:00,6,179,394,93,41
2015-01-03 12:00:00,7,171,497,107,36
2015-01-03 12:00:00,8,155,435,111,35
2015-01-03 13:00:00,1,190,427,116,55
2015-01-03 13:00:00,2,189,448,105,40
2015-01-03 13:00:00,3,159,456,94,43
2015-01-03 13:00:00,4,160,427,104,51
2015-01-03 13:00:00,5,168,364,97,34
2015-01-03 13:00:00,6,162,442,99,35
2015-01-03 13:00:00,7,191,485,94,43
2015-01-03 13:00:00,8,161,459,85,37
2015-01-03 14:00:00,1,166,487,90,66
2015-01-03 14:00:00,2,186,405,103,41
2015-01-03 14:00:00,3,155,531,115,36
2015-01-03 14:00:00,4,168,434,119,41
2015-01-03 14:00:00,5,185,484,97,37
2015-01-03 14:00:00,6,160,404,92,45
2015-01-03 14:00:00,7,173,446,99,38
2015-01-03 14:00:00,8,149,475,91,40
2015-01-03 15:00:00,1,154,469,85,47
2015-01-03 15:00:00,2,169,449,95,45
2015-01-03 15:00:00,3,178,428,106,39
2015-01-03 15:00:00,4,162,431,93,48
2015-01-03 15:00:00,5,175,451,108,32
2015-01-03 15:00:00,6,146,422,105,51
2015-01-03 15:00:00,7,159,474,118,37
2015-01-03 15:00:00,8,189,387,85,38
2015-01-03 16:00:00,1,156,462,106,48
2015-01-03 16:00:00,2,162,440,91,40
2015-01-03 16:00:00,3,179,410,95,44
2015-01-03 16:00:00,4,146,525,98,39
2015-01-03 16:00:00,5,166,387,100,43
2015-01-03 16:00:00,6,181,388,99,40
2015-01-03 16:00:00,7,173,489,105,38
2015-01-03 16:00:00,8,197,445,117,45
2015-01-03 17:00:00,1,164,429,104,43
2015-01-03 17:00:00,2,155,471,97,34
2015-01-03 17:00:00,3,208,450,94,44
2015-01-03 17:00:00,4,138,453,112,38
2015-01-03 17:00:00,5,193,394,95,42
2015-01-03 17:00:00,6,174,403,100,37
2015-01-03 17:00:00,7,192,458,99,40
2015-01-03 17:00:00,8,162,462,102,42
2015-01-03 18:00:00,1,157,416,93,48
2015-01-03 18:00:00,2,184,502,100,38
2015-01-03 18:00:00,3,195,482,109,32
2015-01-03 18:00:00,4,166,516,84,40
2015-01-03 18:00:00,5,157,493,103,41
2015-01-03 18:00:00,6,195,476,98,31
2015-01-03 18:00:00,7,174,404,88,38
2015-01-03 18:00:00,8,169,424,103,43
2015-01-03 19:00:00,1,166,425,87,57
2015-01-03 19:00:00,2,170,473,118,28
2015-01-03 19:00:00,3,155,397,97,40
2015-01-03 19:00:00,4,185,513,105,42
2015-01-03 19:00:00,5,183,531,105,52
2015-01-03 19:00:00,6,175,575,109,44
2015-01-03 19:00:00,7,150,362,89,44
2015-01-03 19:00:00,8,187,500,102,37
2015-01-03 20:00:00,1,163,520,97,56
2015-01-03 20:00:00,2,177,508,92,36
2015-01-03 20:00:00,3,165,457,109,50
2015-01-03 20:00:00,4,176,466,110,39
2015-01-03 20:00:00,5,152,439,91,32
2015-01-03 20:00:00,6,135,462,86,48
2015-01-03 20:00:00,7,158,415,99,38
2015-01-03 20:00:00,8,196,364,103,35
2015-01-03 21:00:00,1,167,382,104,39
2015-01-03 21:00:00,2,170,389,103,43
2015-01-03 21:00:00,3,182,470,101,34
2015-01-03 21:00:00,4,164,435,101,36
2015-01-03 21:00:00,5,167,440,107,45
2015-01-03 21:00:00,6,172,419,96,44
2015-01-03 21:00:00,7,168,521,106,30
2015-01-03 21:00:00,8,168,436,100,37
2015-01-03 22:00:00,1,176,428,107,52
2015-01-03 22:00:00,2,188,438,99,50
2015-01-03 22:00:00,3,147,457,96,43
2015-01-03 22:00:00,4,152,431,105,45
2015-01-03 22:00:00,5,165,469,110,36
2015-01-03 22:00:00,6,178,371,90,41
2015-01-03 22:00:00,7,176,414,102,39
2015-01-03 22:00:00,8,183,502,94,36
2015-01-03 23:00:00,1,179,374,87,49
2015-01-03 23:00:00,2,194,415,93,39
2015-01-03 23:00:00,3,160,423,90,36
2015-01-03 23:00:00,4,205,504,90,43
2015-01-03 23:00:00,5,188,400,103,37
2015-01-03 23:00:00,6,144,436,78,45
2015-01-03 23:00:00,7,179,445,115,38
2015-01-03 23:00:00,8,179,461,96,35
2015-01-04 00:00:00,1,195,436,103,49
2015-01-04 00:00:00,2,166,539,111,43
2015-01-04 00:00:00,3,183,479,84,44
2015-01-04 00:00:00,4,152,392,96,36
2015-01-04 00:00:00,5,180,436,92,39
2015-01-04 00:00:00,6,167,390,103,32
2015-01-04 00:00:00,7,153,432,102,37
2015-01-04 00:00:00,8,187,411,107,39
2015-01-04 01:00:00,1,168,467,117,58
2015-01-04 01:00:00,2,182,463,102,41
2015-01-04 01:00:00,3,190,505,100,42
2015-01-04 01:00:00,4,158,490,95,44
2015-01-04 01:00:00,5,177,446,85,30
2015-01-04 01:00:00,6,132,391,104,40
2015-01-04 01:00:00,7,175,478,107,34
2015-01-04 01:00:00,8,202,419,100,37
2015-01-04 02:00:00,1,165,475,114,57
2015-01-04 02:00:00,2,199,433,104,42
2015-01-04 02:00:00,3,169,386,116,34
2015-01-04 02:00:00,4,156,342,104,42
2015-01-04 02:00:00,5,157,487,106,34
2015-01-04 02:00:00,6,185,426,115,38
2015-01-04 02:00:00,7,165,309,89,46
2015-01-04 02:00:00,8,195,501,98,42
2015-01-04 03:00:00,1,192,506,113,57
2015-01-04 03:00:00,2,179,431,85,37
2015-01-04 03:00:00,3,176,520,90,42
2015-01-04 03:00:00,4,176,339,89,37
2015-01-04 03:00:00,5,169,429,103,39
2015-01-04 03:00:00,6,192,419,88,37
2015-01-04 03:00:00,7,157,417,106,35
2015-01-04 03:00:00,8,176,537,104,45
2015-01-04 04:00:00,1,195,384,106,49
2015-01-04 04:00:00,2,175,406,103,33
2015-01-04 04:00:00,3,170,440,98,46
2015-01-04 04:00:00,4,172,417,87,41
2015-01-04 04:00:00,5,132,433,105,40
2015-01-04 04:00:00,6,180,475,97,29
2015-01-04 04:00:00,7,159,356,105,32
2015-01-04 04:00:00,8,165,514,95,29
2015-01-04 05:00:00,1,170,464,103,58
2015-01-04 05:00:00,2,157,495,102,43
2015-01-04 05:00:00,3,156,466,97,43
2015-01-04 05:00:00,4,162,449,89,36
2015-01-04 05:00:00,5,155,441,95,30
2015-01-04 05:00:00,6,174,393,115,34
2015-01-04 05:00:00,7,169,499,96,50
2015-01-04 05:00:00,8,172,431,99,37
2015-01-04 06:00:00,1,165,448,97,48
2015-01-04 06:00:00,2,170,485,100,41
2015-01-04 06:00:00,3,152,362,93,42
2015-01-04 06:00:00,4,158,386,81,36
2015-01-04 06:00:00,5,164,506,107,38
2015-01-04 06:00:00,6,183,384,102,31
2015-01-04 06:00:00,7,165,534,100,41
2015-01-04 06:00:00,8,175,401,95,43
2015-01-04 07:00:00,1,142,433,118,54
2015-01-04 07:00:00,2,168,380,124,40
2015-01-04 07:00:00,3,184,476,78,37
2015-01-04 07:00:00,4,174,374,106,41
2015-01-04 07:00:00,5,198,406,109,36
2015-01-04 07:00:00,6,165,411,112,36
2015-01-04 07:00:00,7,172,523,109,45
2015-01-04 07:00:00,8,185,473,100,40
2015-01-04 08:00:00,1,191,479,101,52
2015-01-04 08:00:00,2,148,472,119,38
2015-01-04 08:00:00,3,174,440,104,38
2015-01-04 08:00:00,4,167,517,93,41
2015-01-04 08:00:00,5,148,485,100,36
2015-01-04 08:00:00,6,161,373,102,41
2015-01-04 08:00:00,7,179,469,89,45
2015-01-04 08:00:00,8,156,338,81,42
2015-01-04 09:00:00,1,157,438,113,53
2015-01-04 09:00:00,2,160,480,94,34
2015-01-04 09:00:00,3,170,305,94,40
2015-01-04 09:00:00,4,182,448,93,41
2015-01-04 09:00:00,5,159,454,100,43
2015-01-04 09:00:00,6,158,444,114,40
